text,label
"peki, evine zorla girin ve bana biraz salyangoz getirin.",talimat
ilaç bulamazsak çok sayıda ölü yolcumuz olacak.,soru
hayır. trombin ve von willebrand faktörü normal.,değerlendirme
hastalık viral enfeksiyon kaynaklı.,tanı
hemodinamik olarak stabil.,değerlendirme
bu wilson hastalığı.,tanı
ağrının nedeni bağırsağının bir kısmının kendi üzerine katlanmış olması. buna intususepsiyon deniyor. kan akışını engelliyor. bağırsağın nekroz olup ölmeden önce onu ameliyat etmeliyiz.,hipotez
"p.o.t.s., mono gibi viral ya da bakteriyel enfeksiyonla oluşabilir. madem öyle fludrokortizon yüklemesi yapın.",tedavi
radyolojiyi ara. beyninin fonksiyonel mrını istiyorum.,test/prosedür
hastaya hematin verilmesi planlandı.,tedavi
berbat hissediyorum. yapamıyorum.,açıklama
acil trakeotomi uygulandı.,tedavi
"kan basıncı düşüyor, hızlı müdahale etmeliyiz.",tanı
iğneyi midklavikuler hatta ikinci ve üçüncü kaburganın arasına saplamanı istiyorum.,test/prosedür
kanıtlamak için beyin biyopsisi yapman lazım.,test/prosedür
rakamları tersine çevirmiş. sayı karışıklığının klasik işareti. sol parahipokampal bölgede bir lezyon var demek.,tanı
chasee kırığı tamir etmesini söyle. siz ikiniz onu kemoterapi için hazırlayın.,tedavi
böbrek fonksiyonları henüz düzelmedi.,tanı
otobüs kazasında her iki böbreğini de kaybetti.,açıklama
"kusurlu dna, kritik bir protein üretmelerini engelliyor, bu yüzden sıvı birikimi oluyor.",hipotez
aids için tedavi edin.,talimat
"alerjenler için deri testi yapacağız. henüz değil, çok reaktif, her şeye pozitif çıkıyor.",test/prosedür
hiperthymesia ergenlikte başladığı için mevcut nörolojik tabloyla ilişkisi zayıf görünüyor.,değerlendirme
alkol yoksunluğu için valyum vereceğiz.,talimat
beyin tümörü de olabilir.,tanı
"kavernöz anjiyom sızıntı yapabilir, kan emilince basınç azalır ve semptomlar kaybolabilir.",tanı
"enfeksiyonu kendimiz eleyelim. ciğerlerini boşaltın, kültür gönderin, kanser için sitoloji yapın ve tansiyonunu ölçün.",talimat
bu ihtimali doğrulamak için ep çalışması yapıp kalp ritmini incelemeliyiz.,test/prosedür
charlotteun tedavisi işe yaramıyor. çok geç teşhis koyduk.,değerlendirme
yüksek doz glukoz tedavisi uygulanabilir.,tedavi
lenf bezlerinde büyüme var.,tanı
"hamilelik testi pozitif çıktı, bu bazı semptomları açıklayabilir.",tanı
"kokain akciğerleri hiç geçemedi, bu yüzden idrarda toksikoloji ekranı temiz çıktı.",açıklama
"mrsa için vankomisin, geri kalanı için aztreonam başlayalım.",hipotez
şimdi hangi adıma geçiyoruz?,soru
"dolaşımsal değil, nörolojik. sinir iletim çalışması yapın.",tanı
turnuvadan önceki gece knightsa inek gözü yedirdi. fear factordan aldığı bir fikir.,açıklama
karın ağrısı ve boğaz şişmesi. keşif amaçlı laparotomi yaptıklarında beni uyandırın.,soru
radyasyon zehirlenmesi olabilir. ona çektikleri röntgenlerden.,hipotez
goodpasture sendromu. dolaşımdaki antikorlar böbrek yetmezliği ve kanamaya neden olur.,hipotez
hormon paneli çalışın; pozitif çıkarsa testosteron verip eve göndeririz.,test/prosedür
