text,label
29 yaşında bir kadın hasta; ilk nöbetini bir ay önce geçirmiş.,açıklama
"konuşma yetisini kaybetmiş, bebek gibi anlamsız sesler çıkarıyor.",açıklama
mental durumu giderek kötüleşiyor.,açıklama
onun yaşında beyin tümörü olması pek olası değil.,açıklama
en sık görülen üç beyin kanseri için protein belirteçleri negatif çıktı.,açıklama
radyasyon tedavisine de yanıt vermiyor.,açıklama
mr görüntüsünde bir lezyon var.,açıklama
bence bu bir tümör değil.,hipotez
btde hiçbir şey yok. tümör değilse olası tanılarımız neler?,soru
"anevrizma, inme ya da başka bir iskemik sendrom olabilir.",hipotez
hemen kontrastlı bir beyin mrı isteyin.,hipotez
creutzfeldt-jakob hastalığı olabilir.,hipotez
wernicke ensefalopatisi olabilir mi?,soru
"hayır, kandaki tiamin düzeyi normaldi.",açıklama
kan testlerini yeniden alın ve kontrastlı mrı acilen planlayın.,hipotez
gadolinyumu damardan veriyoruz; beyine dağılıp mr için kontrast madde gibi davranacak.,açıklama
gadolinyuma alerjik reaksiyon geliştiriyor; iki dakika içinde ölebilir.,açıklama
nefes almıyor. yarım doz epinefrin verin.,açıklama
ventile edemiyorum.,açıklama
ödem çok fazla; cerrahi hava yolu setini getirin.,açıklama
genetik ya da çevresel etkenlerin inflamatuvar yanıtı tetikleyip tetiklemediğini anlamamız gerekiyor.,açıklama
yüksek doz prednizon başlayın.,hipotez
serebral vaskülit tanısını desteklemeye çalışıyorsun.,açıklama
"beyindeki damarların iltihabı, onun yaşında biri için oldukça nadirdir.",açıklama
ama tümör de nadir; sedimantasyon hızı yüksekti.,açıklama
bunu biyopsi olmadan teşhis edemezsiniz.,açıklama
düzelirse doğru düşündüğümüzü anlarız; tedavi aynı zamanda tanı olur.,açıklama
"sizi vaskülit için tedavi ediyoruz; bu, beyindeki damarların iltihaplanması demek.",açıklama
yani tümör değil mi? beynimde tümör yok mu?,soru
artık göremiyorum.,açıklama
kalbini yeniden çalıştırmak için elektrik şoku vermek zorunda kaldık.,açıklama
